Datetime,Open,High,Low,Close,Volume
2023-08-22 09:15:00,1665.11,1665.12,1663.41,1664.83,133.3256
2023-08-22 09:30:00,1664.83,1666.0,1662.62,1666.0,199.59655
2023-08-22 09:45:00,1666.0,1667.48,1664.28,1664.29,177.36385
2023-08-22 10:00:00,1664.29,1664.77,1663.74,1664.21,160.73442
2023-08-22 10:15:00,1664.21,1665.79,1663.75,1665.4,152.06792
2023-08-22 10:30:00,1665.4,1665.45,1663.4,1663.51,252.82727
2023-08-22 10:45:00,1663.51,1664.16,1662.42,1663.8,193.74063
2023-08-22 11:00:00,1663.8,1663.81,1662.42,1662.42,164.25382
2023-08-22 11:15:00,1662.42,1664.4,1662.07,1664.4,71.34204
2023-08-22 11:30:00,1664.4,1664.4,1660.09,1662.48,294.78283
2023-08-22 11:45:00,1662.48,1662.73,1661.67,1662.5,163.07478
2023-08-22 12:00:00,1662.5,1663.15,1660.28,1663.14,305.96787
2023-08-22 12:15:00,1663.14,1664.76,1663.14,1664.56,328.56462
2023-08-22 12:30:00,1664.56,1667.27,1664.55,1667.27,223.27507
2023-08-22 12:45:00,1667.27,1667.27,1663.21,1663.22,228.77438
2023-08-22 13:00:00,1663.22,1663.6,1662.21,1662.4,213.11521
2023-08-22 13:15:00,1662.4,1662.4,1659.96,1660.8,288.08592
2023-08-22 13:30:00,1660.8,1662.12,1653.68,1661.2,1581.94504
2023-08-22 13:45:00,1661.2,1661.21,1654.61,1655.86,711.38303
2023-08-22 14:00:00,1655.86,1659.75,1652.6,1657.42,860.28602
2023-08-22 14:15:00,1657.42,1660.48,1656.64,1657.2,371.71675
2023-08-22 14:30:00,1657.2,1658.27,1652.12,1655.47,711.5008
2023-08-22 14:45:00,1655.47,1657.49,1654.6,1655.06,332.332
2023-08-22 15:00:00,1655.06,1655.59,1652.12,1654.21,412.32042
2023-08-22 15:15:00,1654.21,1657.9,1653.21,1657.66,330.26609
2023-08-22 15:30:00,1657.66,1658.3,1656.0,1656.0,277.85362
2023-08-22 15:45:00,1656.0,1656.0,1646.21,1650.02,2240.43662
2023-08-22 16:00:00,1650.02,1651.11,1641.71,1643.85,1738.19506
2023-08-22 16:15:00,1643.85,1646.0,1630.05,1635.13,5675.12403
2023-08-22 16:30:00,1635.13,1650.38,1627.8,1646.0,4812.18109
2023-08-22 16:45:00,1646.0,1650.41,1641.9,1648.52,1773.61256
2023-08-22 17:00:00,1648.52,1649.03,1641.61,1642.09,1025.66556
2023-08-22 17:15:00,1642.09,1642.09,1633.12,1637.01,1480.43535
2023-08-22 17:30:00,1637.01,1637.67,1618.67,1622.33,3862.67587
2023-08-22 17:45:00,1622.33,1628.53,1621.8,1626.15,1622.16696
2023-08-22 18:00:00,1626.15,1628.6,1620.26,1626.74,986.24468
2023-08-22 18:15:00,1626.74,1628.58,1624.22,1627.64,701.13592
2023-08-22 18:30:00,1627.64,1642.75,1627.22,1638.37,1666.89573
2023-08-22 18:45:00,1638.37,1639.5,1635.18,1636.97,733.94189
2023-08-22 19:00:00,1636.97,1640.19,1634.83,1639.81,733.60007
2023-08-22 19:15:00,1639.81,1639.81,1632.87,1632.99,372.69659
2023-08-22 19:30:00,1632.99,1633.79,1629.36,1632.21,375.13616
2023-08-22 19:45:00,1632.21,1632.21,1624.71,1625.19,679.59719
2023-08-22 20:00:00,1625.19,1629.73,1625.19,1628.81,287.66441
2023-08-22 20:15:00,1628.81,1632.25,1628.42,1631.82,357.38876
2023-08-22 20:30:00,1631.82,1632.99,1627.6,1628.77,261.50651
2023-08-22 20:45:00,1628.77,1631.2,1627.46,1631.09,201.15094
2023-08-22 21:00:00,1631.09,1632.05,1626.35,1628.14,550.73947
2023-08-22 21:15:00,1628.14,1629.34,1578.88,1604.43,10142.00995
2023-08-22 21:30:00,1604.43,1611.49,1597.56,1607.99,3258.80098
2023-08-22 21:45:00,1607.99,1609.4,1601.2,1604.26,1000.74465
2023-08-22 22:00:00,1604.26,1608.36,1603.67,1604.74,695.84529
2023-08-22 22:15:00,1604.74,1612.93,1604.74,1612.2,972.39969
2023-08-22 22:30:00,1612.2,1622.84,1610.61,1621.53,1406.19559
2023-08-22 22:45:00,1621.53,1622.9,1618.77,1619.56,857.31292
2023-08-22 23:00:00,1619.56,1639.78,1618.43,1634.69,3478.69985
2023-08-22 23:15:00,1634.69,1634.87,1628.4,1629.59,824.69988
2023-08-22 23:30:00,1629.59,1636.5,1628.5,1633.97,734.666
2023-08-22 23:45:00,1633.97,1635.86,1631.5,1635.0,786.33916
2023-08-23 00:00:00,1635.0,1638.78,1633.81,1638.78,1031.95835
2023-08-23 00:15:00,1638.78,1642.57,1635.65,1636.42,1017.68567
2023-08-23 00:30:00,1636.42,1637.0,1633.62,1636.59,307.78934
2023-08-23 00:45:00,1636.59,1637.79,1633.36,1633.36,418.77439
2023-08-23 01:00:00,1633.36,1634.0,1629.89,1630.31,360.3872
2023-08-23 01:15:00,1630.31,1633.0,1629.6,1631.21,388.78722
2023-08-23 01:30:00,1631.21,1635.78,1630.53,1634.88,363.12488
2023-08-23 01:45:00,1634.88,1637.45,1633.4,1634.32,323.19838
2023-08-23 02:00:00,1634.32,1637.49,1633.2,1633.2,309.47148
2023-08-23 02:15:00,1633.2,1636.6,1633.0,1636.58,218.54682
2023-08-23 02:30:00,1636.58,1638.8,1635.92,1636.85,200.45004
2023-08-23 02:45:00,1636.85,1636.85,1633.77,1633.77,156.23468
2023-08-23 03:00:00,1633.77,1635.99,1633.71,1633.72,158.82376
2023-08-23 03:15:00,1633.72,1635.3,1632.49,1632.69,226.15728
2023-08-23 03:30:00,1632.69,1634.0,1632.45,1632.45,213.24504
2023-08-23 03:45:00,1632.45,1632.6,1631.32,1632.15,115.69002
2023-08-23 04:00:00,1632.15,1632.15,1631.0,1631.8,85.39822
2023-08-23 04:15:00,1631.8,1635.2,1631.8,1634.75,221.42432
2023-08-23 04:30:00,1634.75,1639.0,1634.22,1637.43,1402.56425
2023-08-23 04:45:00,1637.43,1640.59,1633.64,1638.2,502.68294
2023-08-23 05:00:00,1638.2,1638.79,1636.4,1636.93,251.31212
2023-08-23 05:15:00,1636.93,1637.2,1635.2,1635.25,97.56417
2023-08-23 05:30:00,1635.25,1636.4,1634.01,1636.4,108.97109
2023-08-23 05:45:00,1636.4,1640.07,1635.0,1639.24,320.90598
2023-08-23 06:00:00,1639.24,1641.58,1638.36,1641.16,455.60781
2023-08-23 06:15:00,1641.16,1642.76,1639.01,1639.01,443.78993
2023-08-23 06:30:00,1639.01,1640.0,1637.62,1640.0,211.70616
2023-08-23 06:45:00,1640.0,1658.21,1640.0,1645.2,3612.62175
2023-08-23 07:00:00,1645.2,1646.96,1642.63,1646.77,597.65247
2023-08-23 07:15:00,1646.77,1651.02,1646.77,1650.16,617.42106
2023-08-23 07:30:00,1650.16,1650.48,1642.53,1643.45,456.73681
2023-08-23 07:45:00,1643.45,1646.14,1643.06,1645.37,418.47305
2023-08-23 08:00:00,1645.37,1648.93,1644.44,1647.83,442.88068
2023-08-23 08:15:00,1647.83,1648.56,1644.7,1645.02,248.13038
2023-08-23 08:30:00,1645.02,1645.8,1643.59,1643.72,275.43335
2023-08-23 08:45:00,1643.72,1644.6,1643.01,1644.59,168.80579
2023-08-23 09:00:00,1644.59,1645.37,1643.62,1645.2,144.15418
2023-08-23 09:15:00,1645.2,1645.88,1643.71,1645.2,414.83004
2023-08-23 09:30:00,1645.2,1646.59,1643.42,1646.59,293.97176
2023-08-23 09:45:00,1646.59,1647.38,1645.01,1645.62,235.38414
2023-08-23 10:00:00,1645.62,1646.16,1643.0,1643.69,383.89174
2023-08-23 10:15:00,1643.69,1644.33,1642.5,1642.5,327.91751
2023-08-23 10:30:00,1642.5,1645.95,1642.5,1645.55,345.90235
2023-08-23 10:45:00,1645.55,1646.6,1642.85,1643.2,481.03731
